pl.p,IBRA,IBRAsub,planting,age,establishment,aridity.index,carbon,clay,elevation.relief,elevation,nitrogen,phosphorus,ph,prec.annual,prec.season,prescott,sand,silt,slope,soil.depth,solar.annual,tmax.annual,tmin.annual,TWI,tot.ag.mass,biomass.area,plant.count,density,rare.rich,rare.rich.se,alpha,SLA.cwm,WD.cwm,SM.cwm,MH.cwm,MH.FRr,SLA.FRr,SM.FRr,WD.FRr,SLA.FEs,WD.FEs,SM.FEs,MH.FEs,MH.FDs,SLA.FDs,SM.FDs,WD.FDs,FRv,FEm,FDm,log.age,log.aridity.index,log.prec.annual,log.prescott,log.density,best.cluster,mass.per.year
1,WET,WET07,5,19,TS,1.5092276335,4.8016285896,36.8518218994,45.7708740234,709,0.2823333691,0.0887365987,5.1161915461,2208,76,1.4704489708,32.0624529521,16.0070463816,8.2509298325,1.2047239542,19.0081821165,25.9,15.9,6.6304569244,10871.122262,128500.263144208,60,709.219858156,2.9976506596,0.0484131729,3,3.6777382483,2.2185435209,1.0935992642,-0.0607773102,0.250269438,0.9270626779,1.2797302124,0.3288726626,0.4937611011,0.1859637269,0.7361229838,0.9728259932,0,0,0.8169851341,0,2.8985471589,0.7462102835,0.7504090148,2.9444389792,0.411598019,7.6998424074,0.3855677765,6.5641655746,8,1.911491973
2,WET,WET07,5,19,TS,1.5092276335,4.8016285896,36.8518218994,45.7708740234,709,0.2823333691,0.0887365987,5.1161915461,2208,76,1.4704489708,32.0624529521,16.0070463816,8.2509298325,1.2047239542,19.0081821165,25.9,15.9,6.6304569244,12584.321739,139825.7971,60,666.6666666667,5.7872029843,0.8069989605,7,3.6272125498,2.7122353755,3.2727182918,-0.7229018276,0.2683026347,1.5973943378,3.138643786,0.4931706885,0.4650917208,0.5623192636,0.5943906212,0.6338385698,0.4976894572,0.2210985387,0.5384954932,0,0.0656279223,0.8499879609,0.7949745761,2.9444389792,0.411598019,7.6998424074,0.3855677765,6.5022901709,8,1.9959583622
3,WET,WET07,6,18,TS,1.5672553778,5.7348389626,45.6710090637,38.6096801758,744,0.2471901029,0.0398405505,4.482665062,2307,75,2.0494184494,40.1798667908,18.5041351318,5.6406927109,1.4299212694,18.3773304969,25.725,15.5083333333,9.1711769104,10203.244493,113369.383255556,60,666.6666666667,6.644073152,0.5498021142,7,3.5659551284,2.531232147,4.6168508047,-0.6169247522,0.5452270505,0.6686895006,7.2309575836,0.3207950536,0.5651327154,0.6491209946,0.4606752932,0.3788992758,0,0.28701477,0.2337374427,0.4648228959,0.1239647572,0.7311297789,0.8940672108,2.8903717579,0.4493259225,7.7437032582,0.7175560697,6.5022901709,8,1.840279608
4,WET,WET02,7,19,TS,1.4903225899,4.1016874313,22.8981119792,19.4861526489,34,0.1204290986,0.0202342886,4.5001298587,2310,85,1.9006792307,60.6058006287,13.7055638631,0.8197592497,1.2714436054,18.4266017643,28.9166666667,19.1333333333,8.849146843,10957.318052,121747.978355556,60,666.6666666667,2.9999999785,0.0001466372,3,3.7187501737,1.9995221904,2.1074490644,-0.2413139173,0.0896121587,1.0991032541,4.2059230184,0.5211616331,0,0.4571499541,0.5476985737,0,1,1,1,1,2.7341390365,0.7765275255,0.841432394,2.9444389792,0.3989925998,7.7450028035,0.6422113121,6.5022901709,8,1.8575141778
5,AVW,AVW02,8,14,TS,0.2555266619,1.5841519833,11.360915184,15.5639648438,218,0.0659716787,0.0129320528,5.7472856839,393,67,0.392805934,81.4952646891,2.6441310247,0.8826839924,0.8171969056,20.1859397118,24.8416666667,10.675,12.1492118835,2718.179633,67954.490825,35,875,2.9831932773,0.1285467104,3,3.1789133194,1.1472361122,0.8006658232,-0.0314278384,0.352356892,0.1944678389,0.4049216122,0.1259308222,0.1471879252,0.3072914015,0.4216851252,0.1403037245,0.1158541111,0.1212462564,0.328777746,0.2397190951,1.4185213257,0.612268373,0.7917377103,2.6390573296,-1.364428523,5.9738096119,-0.9344395958,6.7742238864,7,1.5797808989
6,AVW,AVW02,8,14,TS,0.2555266619,1.5841519833,11.360915184,15.5639648438,218,0.0659716787,0.0129320528,5.7472856839,393,67,0.392805934,81.4952646891,2.6441310247,0.8826839924,0.8171969056,20.1859397118,24.8416666667,10.675,12.1492118835,3092.853651,49485.658416,36,576,4,0,4,2.6274843999,1.0881607894,0.7963500475,-0.1506520099,0.9534302788,0.8114643266,1.1950212659,0.215619208,0.2357583963,0.6992859553,0.3886695632,0.915426962,0.6732483702,0.0989918504,0.3326173013,0.1564547006,0.9845921447,0.8236711257,0.8153431221,2.6390573296,-1.364428523,5.9738096119,-0.9344395958,6.3561076607,7,1.262625569
7,AVW,AVW02,8,14,TS,0.2555266619,1.5841519833,11.360915184,15.5639648438,218,0.0659716787,0.0129320528,5.7472856839,393,67,0.392805934,81.4952646891,2.6441310247,0.8826839924,0.8171969056,20.1859397118,24.8416666667,10.675,12.1492118835,4597.71209,73563.39344,43,688,6.0695669975,0.7861832347,7,2.7677207792,1.2690968951,0.7337335095,-0.1314042183,2.5257286443,0.8394968827,2.8168581569,0.2922128833,0.408701133,0.6242197935,0.2581712062,0.0885924533,0.3774872178,0.1247216358,0.1411092524,0.4430928461,0.3980874924,0.4292000085,0.6822336715,2.6390573296,-1.364428523,5.9738096119,-0.9344395958,6.5337888379,7,1.6590902007
8,AVW,AVW02,9,15,DS/TS,0.2491888404,1.273455143,13.3727105459,4.9596405029,237,0.0579731067,0.0204867627,5.9767166773,384,64,0.3510953486,79.0980097453,3.326491038,0.1749094129,0.8170262575,20.7181528189,25.2,11.6166666667,11.2411556244,4788.18035,39901.5029166667,60,500,2.8813556229,0.3233696077,3,2.5813076737,1.0735286609,0.4546444189,-0.1727864809,0.3903877157,0.7947130956,1.1875844022,0.1174240483,0.0909126,0.2889990284,0.9548457246,0.0981615258,0.1282363859,1,0.5919955786,1,2.9984495022,0.9738242607,0.761859371,2.7080502011,-1.3895442748,5.9506425526,-1.046697444,6.2146080984,7,0.9783637892
9,AVW,AVW01,10,11,TS,0.2119205296,1.4746968746,11.1468642553,8.3010864258,335,0.0498808833,0.0109434444,5.596889178,320,50,0.3432582021,81.1289393107,2.8754158815,0.5761618614,0.6535661221,20.8674051166,24.475,10.75,10.6817131042,2354.73248,26758.3236363636,41,465.9090909091,2.9998972509,0.0101360043,3,2.6358425354,1.198583748,0.9729769764,-0.1193152795,0.9534302788,0.0803283553,0.3974847485,0.1294774381,0.8138794224,0.8649520466,0.7389055474,0.9343087967,0.6149207216,0.4899616541,0.4506380867,0.5161733871,0.4811015186,0.8671755911,0.5053470026,2.3978952728,-1.5515439349,5.7683209958,-1.0692723393,6.1439905312,7,0.8889503161
10,AVW,AVW01,10,11,TS,0.2119205296,1.4746968746,11.1468642553,8.3010864258,335,0.0498808833,0.0109434444,5.596889178,320,50,0.3432582021,81.1289393107,2.8754158815,0.5761618614,0.6535661221,20.8674051166,24.475,10.75,10.6817131042,2714.334639,30844.7118068182,32,363.6363636364,2,0,2,2.9830073883,1.1700153488,0.8326737098,-0.0730370202,0.3671462438,0.0409705414,0.2183629819,0.0626446303,NA,NA,NA,NA,1,1,1,1,2.8284271247,0,0,2.3978952728,-1.5515439349,5.7683209958,-1.0692723393,5.8961543673,7,1.0310700465
