species,wood.density,units
Acacia acinacea,0.7741412123,g cm-3
Acacia baileyana,0.7430786905,g cm-3
Acacia brachybotrya,0.7361712173,g cm-3
Acacia calamifolia,0.8204337752,g cm-3
Acacia cupularis,0.608014933,g cm-3
Acacia cyclops,0.8015348273,g cm-3
Acacia deanei,0.7709161199,g cm-3
Acacia decora,0.7092307215,g cm-3
Acacia difformis,0.7167299128,g cm-3
Acacia euthycarpa,0.9010470911,g cm-3
Acacia falciformis,0.6435682658,g cm-3
Acacia floribunda,0.7036587024,g cm-3
Acacia genistifolia,0.6705459435,g cm-3
Acacia hakeoides,0.7019380468,g cm-3
Acacia ligulata,0.7598780487,g cm-3
Acacia lineata,0.833938287,g cm-3
Acacia longissima,0.6057382833,g cm-3
Acacia microbotrya,0.7306214788,g cm-3
Acacia microcarpa,0.8267939189,g cm-3
Acacia montana,0.8174205407,g cm-3
Acacia mucronata,0.5600540088,g cm-3
Acacia notabilis,0.8412173412,g cm-3
Acacia oxycedrus,0.6445982494,g cm-3
Acacia paradoxa,0.78953234,g cm-3
Acacia polybotrya,0.7749975117,g cm-3
Acacia pravissima,0.5874944303,g cm-3
Acacia pycnantha,0.6209140254,g cm-3
Acacia retinodes,0.7488427981,g cm-3
Acacia rigens,0.9180933788,g cm-3
Acacia rubida,0.6486435211,g cm-3
Acacia saligna,0.6446167019,g cm-3
Acacia sclerophylla,0.8050518805,g cm-3
Acacia trineura,0.7215739932,g cm-3
Acacia triptera,0.8649802732,g cm-3
Acacia verniciflua,0.7848314069,g cm-3
Acacia verticillata,0.6265520113,g cm-3
Acacia wattsiana,0.7181959755,g cm-3
Allocasuarina muelleriana,0.7308918683,g cm-3
Allocasuarina paludosa,0.6820750563,g cm-3
Allocasuarina verticillata,0.7540011499,g cm-3
Atriplex nummularia,0.7793080692,g cm-3
Babingtonia behrii,0.8682008011,g cm-3
Banksia attenuata,0.6461133911,g cm-3
Banksia grandis,0.6723363176,g cm-3
Banksia littoralis,0.5445087591,g cm-3
Banksia menziesii,0.6748376799,g cm-3
Banksia ornata,0.5531156701,g cm-3
Bedfordia arborescens,0.5661927692,g cm-3
Callistemon rugulosus,0.799038688,g cm-3
Callitris canescens,0.6444019184,g cm-3
Callitris gracilis,0.5878933124,g cm-3
Callitris preissii,0.6814362298,g cm-3
Cassinia aculeata,0.6398347893,g cm-3
Casuarina obesa,0.7746249763,g cm-3
Chamaecytisus palmensis,0.6454547905,g cm-3
Coprosma quadrifida,0.5813488587,g cm-3
Corymbia calophylla,0.6184121132,g cm-3
Dodonaea baueri,0.9073800282,g cm-3
Dodonaea sinuolata,0.8539670981,g cm-3
Enchylaena tomentosa,0.792661631,g cm-3
